========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R10+         90-95%    59    1   1.7%   0.25    -0.047    +0.005     -0.016
  R10+         95-99%    47    0   0.0%   0.00    -0.099    -0.047     -0.064
  R10+        99-100%    12    1   8.3%   1.24    -0.125    -0.099     -0.104
  IFA           0-10%   185   89  48.1%   6.68    +2.033    +9.253     +4.152
  IFA          10-20%   185   26  14.1%   1.95    +1.105    +2.009     +1.520
  IFA          20-30%   184   10   5.4%   0.76    +0.612    +1.105     +0.826
  IFA          30-40%   185    3   1.6%   0.23    +0.366    +0.610     +0.470
  IFA          40-50%   185    0   0.0%   0.00    +0.248    +0.366     +0.303
  IFA          50-60%   185    2   1.1%   0.15    +0.176    +0.248     +0.209
  IFA          60-70%   185    3   1.6%   0.23    +0.131    +0.176     +0.152
  IFA          70-80%   184    0   0.0%   0.00    +0.091    +0.131     +0.110
  IFA          80-90%   185    0   0.0%   0.00    +0.048    +0.091     +0.071
  IFA          90-95%    93    0   0.0%   0.00    +0.006    +0.048     +0.031
  IFA          95-99%    74    0   0.0%   0.00    -0.249    +0.005     -0.077
  IFA         99-100%    18    0   0.0%   0.00    -0.517    -0.252     -0.349

--- event: ESTABLISHED_MLB ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   346   59  17.1%   7.86    +3.523   +10.063     +5.555
  ALL          10-20%   346   12   3.5%   1.60    +1.774    +3.521     +2.496
  ALL          20-30%   345    3   0.9%   0.40    +1.058    +1.764     +1.386
  ALL          30-40%   346    0   0.0%   0.00    +0.647    +1.058     +0.839
  ALL          40-50%   346    1   0.3%   0.13    +0.394    +0.646     +0.508
  ALL          50-60%   346    0   0.0%   0.00    +0.236    +0.394     +0.308
  ALL          60-70%   346    0   0.0%   0.00    +0.149    +0.235     +0.189
  ALL          70-80%   345    0   0.0%   0.00    +0.087    +0.149     +0.118
  ALL          80-90%   346    0   0.0%   0.00    +0.029    +0.087     +0.055
  ALL          90-95%   173    0   0.0%   0.00    -0.018    +0.028     +0.008
  ALL          95-99%   138    0   0.0%   0.00    -0.122    -0.020     -0.056
  ALL         99-100%    35    0   0.0%   0.00    -0.517    -0.125     -0.271
  R1            0-10%     6    0   0.0%   0.00    +9.111   +10.063     +9.537
  R1           10-20%     5    2  40.0%   1.75    +8.646    +9.057     +8.790
  R1           20-30%     6    3  50.0%   2.19    +8.226    +8.629     +8.465
  R1           30-40%     6    2  33.3%   1.46    +7.844    +8.224     +8.060
  R1           40-50%     5    2  40.0%   1.75    +7.297    +7.693     +7.577
  R1           50-60%     6    3  50.0%   2.19    +5.901    +6.489     +6.138
  R1           60-70%     6    1  16.7%   0.73    +4.219    +5.239     +4.640
  R1           70-80%     6    0   0.0%   0.00    +2.695    +3.761     +3.411
  R1           80-90%     5    0   0.0%   0.00    +1.776    +2.694     +2.323
  R1           90-95%     3    0   0.0%   0.00    +1.437    +1.694     +1.578
  R1           95-99%     2    0   0.0%   0.00    +0.149    +1.266     +0.708
  R1          99-100%     1    0   0.0%   0.00    -0.020    -0.020     -0.020
  R2-R3         0-10%    10    4  40.0%   2.45    +7.434    +8.731     +7.988
  R2-R3        10-20%    10    3  30.0%   1.84    +6.558    +7.323     +6.879
  R2-R3        20-30%     9    5  55.6%   3.40    +6.206    +6.538     +6.378
