player_id,as_of,source,overall_rank,org_rank,list_size,org_rank_1y_ago,org_rank_2y_ago,org_rank_delta_1y,org_rank_delta_2y,mlbam_id,tbc_player_id,team,matched,match_method
ifa_800306,2024-01-01,ESPN,,4,30,,,,,800306,242026,Arizona Diamondbacks,1,mlbam
ifa_800198,2024-01-01,ESPN,,5,30,,,,,800198,242031,Arizona Diamondbacks,1,mlbam
ifa_691441,2024-01-01,ESPN,,6,30,,,,,691441,237092,Arizona Diamondbacks,1,mlbam
ifa_678489,2024-01-01,ESPN,,7,30,,,,,678489,216369,Arizona Diamondbacks,1,mlbam
draft_2020_slade_cecconi_r1p33,2024-01-01,ESPN,,8,30,,,,,677944,216016,Arizona Diamondbacks,1,mlbam
ifa_801179,2024-01-01,ESPN,,9,30,,,,,801179,284199,Arizona Diamondbacks,1,mlbam
draft_2022_dylan_ray_r4p108,2024-01-01,ESPN,,10,30,,,,,691009,229868,Arizona Diamondbacks,1,mlbam
draft_2020_aj_vukovich_r4p119,2024-01-01,ESPN,,11,30,,,,,691021,228453,Arizona Diamondbacks,1,mlbam
ifa_700270,2024-01-01,ESPN,,12,30,,,,,700270,238263,Arizona Diamondbacks,1,mlbam
ifa_815895,2024-01-01,ESPN,,13,30,,,,,815895,316870,Arizona Diamondbacks,1,mlbam
ifa_703192,2024-01-01,ESPN,,14,30,,,,,703192,242020,Arizona Diamondbacks,1,mlbam
ifa_692416,2024-01-01,ESPN,,15,30,,,,,692416,237628,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2024-01-01,ESPN,,16,30,,,,,694410,230662,Arizona Diamondbacks,1,mlbam
draft_2023_caden_grice_r2p64,2024-01-01,ESPN,,17,30,,,,,694364,231080,Arizona Diamondbacks,1,mlbam
,2024-01-01,ESPN,,18,30,,,,,699912,232856,Arizona Diamondbacks,0,
draft_2018_blaze_alexander_r11p339,2024-01-01,ESPN,,19,30,,,,,677942,216042,Arizona Diamondbacks,1,mlbam
draft_2019_blake_walston_r1p26,2024-01-01,ESPN,,20,30,,,,,686796,222143,Arizona Diamondbacks,1,mlbam
ifa_800185,2024-01-01,ESPN,,21,30,,,,,800185,242030,Arizona Diamondbacks,1,mlbam
draft_2023_jack_hurley_r3p80,2024-01-01,ESPN,,22,30,,,,,694815,231009,Arizona Diamondbacks,1,mlbam
draft_2023_grayson_hitt_r4p112,2024-01-01,ESPN,,23,30,,,,,694491,229870,Arizona Diamondbacks,1,mlbam
ifa_694211,2024-01-01,ESPN,,24,30,,,,,694211,234105,Arizona Diamondbacks,1,mlbam
ifa_700282,2024-01-01,ESPN,,25,30,,,,,700282,237929,Arizona Diamondbacks,1,mlbam
draft_2022_ivan_melendez_r2p43,2024-01-01,ESPN,,26,30,,,,,699471,229695,Arizona Diamondbacks,1,mlbam
draft_2021_adrian_del_castillo_r2p67,2024-01-01,ESPN,,27,30,,,,,680728,215815,Arizona Diamondbacks,1,mlbam
draft_2019_andrew_saalfrank_r6p182,2024-01-01,ESPN,,28,30,,,,,685314,207162,Arizona Diamondbacks,1,mlbam
ifa_679885,2024-01-01,ESPN,,29,30,,,,,679885,216910,Arizona Diamondbacks,1,mlbam
ifa_806979,2024-01-01,ESPN,,30,30,,,,,806979,291331,Arizona Diamondbacks,1,mlbam
draft_2021_jordan_lawlar_r1p6,2024-01-01,MLB Pipeline,11,1,30,2,3,1,2,691783,230561,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2024-01-01,MLB Pipeline,74,2,30,,,,,694371,229473,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2024-01-01,MLB Pipeline,78,3,30,3,,0,,702258,284647,Arizona Diamondbacks,1,mlbam
ifa_801179,2024-01-01,MLB Pipeline,,4,30,13,,9,,801179,284199,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2024-01-01,MLB Pipeline,,5,30,,,,,694410,230662,Arizona Diamondbacks,1,mlbam
ifa_800306,2024-01-01,MLB Pipeline,,6,30,,,,,800306,242026,Arizona Diamondbacks,1,mlbam
ifa_800198,2024-01-01,MLB Pipeline,,7,30,18,,11,,800198,242031,Arizona Diamondbacks,1,mlbam
draft_2022_ivan_melendez_r2p43,2024-01-01,MLB Pipeline,,8,30,10,,2,,699471,229695,Arizona Diamondbacks,1,mlbam
draft_2022_dylan_ray_r4p108,2024-01-01,MLB Pipeline,,9,30,25,,16,,691009,229868,Arizona Diamondbacks,1,mlbam
ifa_800185,2024-01-01,MLB Pipeline,,10,30,19,,9,,800185,242030,Arizona Diamondbacks,1,mlbam
ifa_691441,2024-01-01,MLB Pipeline,,11,30,,,,,691441,237092,Arizona Diamondbacks,1,mlbam
ifa_678489,2024-01-01,MLB Pipeline,,12,30,15,,3,,678489,216369,Arizona Diamondbacks,1,mlbam
draft_2023_jack_hurley_r3p80,2024-01-01,MLB Pipeline,,13,30,,,,,694815,231009,Arizona Diamondbacks,1,mlbam
draft_2020_aj_vukovich_r4p119,2024-01-01,MLB Pipeline,,14,30,14,9,0,-5,691021,228453,Arizona Diamondbacks,1,mlbam
ifa_700270,2024-01-01,MLB Pipeline,,15,30,28,,13,,700270,238263,Arizona Diamondbacks,1,mlbam
ifa_677565,2024-01-01,MLB Pipeline,,16,30,,13,,-3,677565,215616,Arizona Diamondbacks,1,mlbam
draft_2020_slade_cecconi_r1p33,2024-01-01,MLB Pipeline,,17,30,12,11,-5,-6,677944,216016,Arizona Diamondbacks,1,mlbam
draft_2023_caden_grice_r2p64,2024-01-01,MLB Pipeline,,18,30,,,,,694364,231080,Arizona Diamondbacks,1,mlbam
ifa_815895,2024-01-01,MLB Pipeline,,19,30,,,,,815895,316870,Arizona Diamondbacks,1,mlbam
draft_2018_blaze_alexander_r11p339,2024-01-01,MLB Pipeline,,20,30,11,28,-9,8,677942,216042,Arizona Diamondbacks,1,mlbam
draft_2023_grayson_hitt_r4p112,2024-01-01,MLB Pipeline,,21,30,,,,,694491,229870,Arizona Diamondbacks,1,mlbam
ifa_700282,2024-01-01,MLB Pipeline,,22,30,,,,,700282,237929,Arizona Diamondbacks,1,mlbam
