oof,cal,event,h,slice,n,ece,brier,logloss,ratio,top_n,top_pred,top_actual,top_gap
single,spline,ESTABLISHED_MLB,6,yip<=3,17696,0.004552372028420599,0.029149227043737024,0.10854252346289456,0.8861668855916504,18,0.736971302152429,0.7222222222222222,-0.014749079930206799
single,spline,STAR_PLUS_ELITE,1,all,45887,1.1876098835780752e-06,8.346851558009903e-05,0.000447360803331111,0.9863760363180633,0,,,
single,spline,STAR_PLUS_ELITE,1,yip<=3,19535,4.35515775111197e-05,0.00019603810209885218,0.0010100590121209462,0.7873049833300692,0,,,
single,spline,STAR_PLUS_ELITE,3,all,42591,0.00023724902837526005,0.0007864523931854031,0.003973224925523613,0.7193146286797027,0,,,
single,spline,STAR_PLUS_ELITE,3,yip<=3,19518,0.0004978386183602117,0.0015160207938451156,0.00744442891020084,0.6963495577139183,0,,,
single,spline,STAR_PLUS_ELITE,6,all,35658,0.0006082149935531447,0.0037130154170628487,0.01698133722715847,0.9450254007655544,0,,,
single,spline,STAR_PLUS_ELITE,6,yip<=3,17696,0.0009020434030133538,0.00654329480406054,0.02905159144558601,0.9754223358637893,0,,,
single,iso,TOP_100_PROSPECT,1,all,45520,0.00034524705214146505,0.0019597480818693606,0.0076663419630906456,0.9847563206484401,26,0.8120904065469646,0.8461538461538461,0.03406343960688152
single,iso,TOP_100_PROSPECT,1,yip<=3,19353,0.0008266699690636726,0.004351872626368896,0.016902148633807346,0.987825752249222,25,0.8089437707080029,0.84,0.03105622929199703
single,iso,TOP_100_PROSPECT,3,all,42236,0.0012301462118030006,0.005179985228521131,0.020832617611229984,0.9412598505027927,78,0.798099703055887,0.7564102564102564,-0.04168944664563057
single,iso,TOP_100_PROSPECT,3,yip<=3,19336,0.0027662442096327276,0.010941946239713965,0.04363912065678784,0.9304639742439064,76,0.7972545202330286,0.75,-0.04725452023302856
single,iso,TOP_100_PROSPECT,6,all,35351,0.0013583289116834401,0.007056504213506903,0.02794598561274553,0.9498743564523906,78,0.8011313486505455,0.7564102564102564,-0.044721092240289084
single,iso,TOP_100_PROSPECT,6,yip<=3,17531,0.0029608525164802053,0.013940277799511255,0.05501822378866138,0.9321097681376614,76,0.800365945974915,0.75,-0.05036594597491495
single,iso,MLB_DEBUT,1,all,45887,0.0016430825671679649,0.011759079521763388,0.04315242466630569,0.9421071548573942,69,0.7835138786913374,0.6956521739130435,-0.08786170477829391
single,iso,MLB_DEBUT,1,yip<=3,19535,0.0014874683671540245,0.01464987010317093,0.05309201792203897,0.9736540872193772,45,0.7844557924286332,0.6888888888888889,-0.09556690353974429
single,iso,MLB_DEBUT,3,all,42591,0.004997444572510319,0.030912143634523458,0.10722194860321173,0.9445915256029329,357,0.8185824053734325,0.7619047619047619,-0.05667764346867066
single,iso,MLB_DEBUT,3,yip<=3,19518,0.007949399428389004,0.04703621681942324,0.16058060478358044,0.9384357150940208,263,0.8192890956028278,0.7642585551330798,-0.05503054046974798
single,iso,MLB_DEBUT,6,all,35658,0.005142904749502308,0.04753982047543039,0.15881936577335196,0.970183816501801,597,0.8083083106034681,0.7973199329983249,-0.010988377605143151
