key_fangraphs,key_mlbam,name_first,name_last
1002469,112523,Jackie,Collum
1006891,117038,Joe,Kiefer
1012764,123028,Bud,Swartz
17968,656271,Brock,Burke
20198,641386,Ben,Bowden
21454,663457,Lars,Nootbaar
10796,572831,Josh,Edgin
-1,-1,Leander,Tugerson
1011581,121829,Dave,Schmidt
24602,680723,Drew,Rom
-1,817217,,Smith
9874,518934,DJ,LeMahieu
1007048,117200,Punch,Knoll
1010454,120681,Jay,Porter
1012357,122610,Homer,Spragins
-1,818756,Jack,Johnson
15487,622682,Víctor,Reyes
1014181,124500,Steve,Wojciechowski
-1,547748,Rick,Adair
7851,452737,Chris,Schwinden
1793,276514,Kevin,Gregg
1013654,123962,Claudell,Washington
3752,458657,Adalberto,Méndez
9205,489149,Logan,Morrison
1002998,113062,Doug,Dascenzo
1009803,120013,Oran,O'Neal
19727,656388,Joe,Dunand
1013068,123345,Rusty,Tillman
-1,-1,Jim,Schaly
29574,695445,Chase,Lee
1009371,119565,Mike,Murphy
1006507,116554,Tommy,Johns
1007939,118115,Clarence,Maddern
-1,818700,,Jones
1007933,118104,Harry,MacPherson
1001022,111050,Tim,Blackwell
1007250,117405,Ed,Lafitte
1008732,118917,Walt,Meinert
1002865,112926,Nick,Cullop
-1,817134,Charlie,Spearman
1000170,110174,Milo,Allison
1004351,114436,Bob,Friedrichs
1013761,124060,Tub,Welch
1010764,121004,Icicle,Reeder
152,275928,Luis,Matos
1003181,113244,Ramón,de los Santos
1009928,120147,Andy,Oyler
2411,467798,José,Tábata
18356,642545,Jaime,Barría
1003904,113982,Rags,Faircloth
1014220,124533,Jake,Wood
1008080,118255,Lou,Manske
1007918,118095,Gordon,MacKenzie
1008184,118347,Morrie,Martin
1011882,122142,Fred,Sherry
-1,818740,Mex,Johnson
-1,819553,Tom,Fiall
1010866,121104,Charlie,Reynolds
-1,819826,Connie,Day
2240,430640,Tony,Peña
1003324,113389,Glenn,Dishman
1004862,114956,Clyde,Goodwin
1013495,123797,Charlie,Waitt
1008491,118674,Ed,McFarland
17276,656577,Alex,Jackson
-1,818460,James,Lockman
1000465,110485,Phil,Baker
1007495,117646,John,Leighton
1008545,118724,Tug,McGraw
1009283,119478,Ray,Mueller
4064,488846,Brian,Duensing
1013364,123655,Dick,Van Zant
1012027,122287,Ted,Sizemore
1011416,121669,John,Sanders
1013396,123691,Guillermo,Velasquez
1012707,122960,Mike,Sullivan
1014250,124571,Woody,Woodward
3501,452121,Brent,Lillibridge
1006973,117123,Joe,Kirrene
1009875,120093,Dan,Osinski
1014104,124395,George,Wilson
1004925,115034,Bill,Grahame
9368,446334,Evan,Longoria
21894,666619,Gregory,Santos
1000989,111022,Bill,Bishop
1009563,150441,Kevin,Nicholson
5329,523648,Mark,Hamburger
618,150206,Scott,Mullen
1007562,117716,David,Lenz
-1,-1,Greg,Bonin
1010469,120701,Dykes,Potter
1006565,116696,Jake,Jones
-1,819539,Ernest,Finch
1005332,115444,Don,Hanski
1009331,119527,Pedro,Muñoz
-1,-1,John,Cheppu
1012455,132640,Kennie,Steenstra
1002875,112938,Steve,Cummings
